"Id","Age"
15000,2.16179470042046
15001,2.11323681163209
15002,2.17307283306989
15003,2.28665904164795
15004,2.16865357300081
15005,1.72156167704118
15006,1.96319653575078
15007,2.674269132921
15008,2.40432742962097
15009,2.25859060833967
15010,2.18465769705752
15011,2.28486772503661
15012,2.40299240458946
15013,2.44306628108499
15014,2.05993773665501
15015,2.48986256050327
15016,2.32301853494298
15017,2.50309477370246
15018,2.48481806713331
15019,2.35720429643854
15020,2.43202581790598
15021,2.2586266732597
15022,2.16464758784489
15023,2.43421621121278
15024,2.53037493227786
15025,2.30641453697048
15026,2.7369306000143
15027,2.11091030137162
15028,2.29062563718106
15029,2.43809696788847
15030,2.3587119090252
15031,2.28075519066052
15032,2.57550440543034
15033,2.15497110344874
15034,1.96843242120318
15035,2.23560113534662
15036,2.48044826800365
15037,2.18735854977637
15038,2.32788046162915
15039,2.37609539917118
15040,2.29955108730599
15041,2.61495572502086
15042,2.40703257057521
15043,2.57272911451847
15044,2.50813068128557
15045,2.22303020762105
15046,1.54939256018258
15047,2.31331708645057
15048,2.33008566788215
15049,2.15302380088728
15050,2.27017419978226
15051,2.43005286573492
15052,1.89316787756681
15053,2.39391755282271
15054,2.42785183253532
15055,2.61460837700787
15056,2.33947972538683
15057,2.46260376787056
15058,1.76732644217617
15059,2.3366870128932
15060,2.63579425180495
15061,1.93804552446091
15062,2.17691455153111
15063,2.38853883743717
15064,2.21815470762014
15065,2.35071086226526
15066,1.77426130506777
15067,2.42321738897733
15068,2.38633904599063
15069,2.26708533910433
15070,1.82848904359711
15071,2.62054880932186
15072,2.33608116921795
15073,2.47377095975912
15074,2.12572139618224
15075,2.38926146801385
15076,1.60189825519241
15077,1.82512228624947
15078,2.48976619773922
15079,2.13749258080245
15080,2.57586940494135
15081,2.20145248829271
15082,1.92995574546954
15083,2.66039965311324
15084,2.50104984267177
15085,2.38672251814407
15086,2.3588789452956
15087,2.45034676778022
15088,2.15343737193101
15089,2.67281236791699
15090,2.37557145201592
15091,2.38010408542932
15092,2.29230376442395
15093,2.32022379623329
15094,2.58665372975783
15095,2.04416476524703
15096,1.95794520191852
15097,2.25399812276524
15098,1.96890694158123
15099,1.99986327642628
15100,2.25084599699496
15101,1.83261371944698
15102,2.54172353760366
15103,2.37910484946298
15104,2.07722387624636
15105,2.41102436048578
15106,2.00628439781001
15107,1.90758653434335
15108,2.15504023166939
15109,2.20198982736587
15110,1.44734074678698
15111,2.33350869518126
15112,2.49593381608441
15113,2.2724566750006
15114,1.97016647384176
15115,2.23991925484083
15116,1.99417810046047
15117,2.15799049922551
